ID,TITLE,text
20983,Computer Modeling of Halogen Bonds and Other $σ$-Hole Interactions,"  In the field of noncovalent interactions a new paradigm has recently become
popular. It stems from the analysis of molecular electrostatic potentials and
introduces a label, which has recently attracted enormous attention. The label
is {\sigma}-hole, and it was first used in connection with halogens. It
initiated a renaissance of interest in halogenated compounds, and later on,
when found also on other groups of atoms (chalcogens, pnicogens, tetrels and
aerogens), it resulted in a new direction of research of intermolecular
interactions. In this review, we summarize advances from about the last 10
years in understanding those interactions related to {\sigma}-hole. We pay
particular attention to theoretical and computational techniques, which play a
crucial role in the field.
"
20984,Towards Universal End-to-End Affect Recognition from Multilingual Speech by ConvNets,"  We propose an end-to-end affect recognition approach using a Convolutional
Neural Network (CNN) that handles multiple languages, with applications to
emotion and personality recognition from speech. We lay the foundation of a
universal model that is trained on multiple languages at once. As affect is
shared across all languages, we are able to leverage shared information between
languages and improve the overall performance for each one. We obtained an
average improvement of 12.8% on emotion and 10.1% on personality when compared
with the same model trained on each language only. It is end-to-end because we
directly take narrow-band raw waveforms as input. This allows us to accept as
input audio recorded from any source and to avoid the overhead and information
loss of feature extraction. It outperforms a similar CNN using spectrograms as
input by 12.8% for emotion and 6.3% for personality, based on F-scores.
Analysis of the network parameters and layers activation shows that the network
learns and extracts significant features in the first layer, in particular
pitch, energy and contour variations. Subsequent convolutional layers instead
capture language-specific representations through the analysis of
supra-segmental features. Our model represents an important step for the
development of a fully universal affect recognizer, able to recognize
additional descriptors, such as stress, and for the future implementation into
affective interactive systems.
"
20985,A Variational Characterization of Fluid Sloshing with Surface Tension,"  We consider the sloshing problem for an incompressible, inviscid,
irrotational fluid in an open container, including effects due to surface
tension on the free surface. We restrict ourselves to a constant contact angle
and seek time-harmonic solutions of the linearized problem, which describes the
time-evolution of the fluid due to a small initial disturbance of the surface
at rest. As opposed to the zero surface tension case, where the problem reduces
to a partial differential equation for the velocity potential, we obtain a
coupled system for the velocity potential and the free surface displacement. We
derive a new variational formulation of the coupled problem and establish the
existence of solutions using the direct method from the calculus of variations.
We prove a domain monotonicity result for the fundamental sloshing eigenvalue.
In the limit of zero surface tension, we recover the variational formulation of
the mixed Steklov-Neumann eigenvalue problem and give the first-order
perturbation formula for a simple eigenvalue.
"
20986,diagnoseIT: Expertengestützte automatische Diagnose von Performance-Probleme in Enterprise-Anwendungen (Abschlussbericht),"  This is the final report of the collaborative research project diagnoseIT on
expert-guided automatic diagnosis of performance problems in enterprise
applications.
"
20987,Statistical Inference in Political Networks Research,"  Researchers interested in statistically modeling network data have a
well-established and quickly growing set of approaches from which to choose.
Several of these methods have been regularly applied in research on political
networks, while others have yet to permeate the field. Here, we review the most
prominent methods of inferential network analysis---both for cross-sectionally
and longitudinally observed networks including (temporal) exponential random
graph models, latent space models, the quadratic assignment procedure, and
stochastic actor oriented models. For each method, we summarize its analytic
form, identify prominent published applications in political science and
discuss computational considerations. We conclude with a set of guidelines for
selecting a method for a given application.
"
20988,Controller-jammer game models of Denial of Service in control systems operating over packet-dropping links,"  The paper introduces a class of zero-sum games between the adversary and
controller as a scenario for a `denial of service' in a networked control
system. The communication link is modeled as a set of transmission regimes
controlled by a strategic jammer whose intention is to wage an attack on the
plant by choosing a most damaging regime-switching strategy. We demonstrate
that even in the one-step case, the introduced games admit a saddle-point
equilibrium, at which the jammer's optimal policy is to randomize in a region
of the plant's state space, thus requiring the controller to undertake a
nontrivial response which is different from what one would expect in a standard
stochastic control problem over a packet dropping link. The paper derives
conditions for the introduced games to have such a saddle-point equilibrium.
Furthermore, we show that in more general multi-stage games, these conditions
provide `greedy' jamming strategies for the adversary.
"
20989,Conservation of spin supercurrents in superconductors,"  We demonstrate that spin supercurrents are conserved upon transmission
through a conventional superconductor, even in the presence of spin-dependent
scattering by impurities with magnetic moments or spin-orbit coupling. This is
fundamentally different from conventional spin currents, which decay in the
presence of such scattering, and this has important implications for the usage
of superconducting materials in spintronic hybrid structures.
"
20990,Driver Identification Using Automobile Sensor Data from a Single Turn,"  As automotive electronics continue to advance, cars are becoming more and
more reliant on sensors to perform everyday driving operations. These sensors
are omnipresent and help the car navigate, reduce accidents, and provide
comfortable rides. However, they can also be used to learn about the drivers
themselves. In this paper, we propose a method to predict, from sensor data
collected at a single turn, the identity of a driver out of a given set of
individuals. We cast the problem in terms of time series classification, where
our dataset contains sensor readings at one turn, repeated several times by
multiple drivers. We build a classifier to find unique patterns in each
individual's driving style, which are visible in the data even on such a short
road segment. To test our approach, we analyze a new dataset collected by AUDI
AG and Audi Electronics Venture, where a fleet of test vehicles was equipped
with automotive data loggers storing all sensor readings on real roads. We show
that turns are particularly well-suited for detecting variations across
drivers, especially when compared to straightaways. We then focus on the 12
most frequently made turns in the dataset, which include rural, urban, highway
on-ramps, and more, obtaining accurate identification results and learning
useful insights about driver behavior in a variety of settings.
"
20991,Same-different problems strain convolutional neural networks,"  The robust and efficient recognition of visual relations in images is a
hallmark of biological vision. We argue that, despite recent progress in visual
recognition, modern machine vision algorithms are severely limited in their
ability to learn visual relations. Through controlled experiments, we
demonstrate that visual-relation problems strain convolutional neural networks
(CNNs). The networks eventually break altogether when rote memorization becomes
impossible, as when intra-class variability exceeds network capacity. Motivated
by the comparable success of biological vision, we argue that feedback
mechanisms including attention and perceptual grouping may be the key
computational components underlying abstract visual reasoning.\
"
20992,Hyper-dimensional computing for a visual question-answering system that is trainable end-to-end,"  In this work we propose a system for visual question answering. Our
architecture is composed of two parts, the first part creates the logical
knowledge base given the image. The second part evaluates questions against the
knowledge base. Differently from previous work, the knowledge base is
represented using hyper-dimensional computing. This choice has the advantage
that all the operations in the system, namely creating the knowledge base and
evaluating the questions against it, are differentiable, thereby making the
system easily trainable in an end-to-end fashion.
"
20993,The Inner Structure of Time-Dependent Signals,"  This paper shows how a time series of measurements of an evolving system can
be processed to create an inner time series that is unaffected by any
instantaneous invertible, possibly nonlinear transformation of the
measurements. An inner time series contains information that does not depend on
the nature of the sensors, which the observer chose to monitor the system.
Instead, it encodes information that is intrinsic to the evolution of the
observed system. Because of its sensor-independence, an inner time series may
produce fewer false negatives when it is used to detect events in the presence
of sensor drift. Furthermore, if the observed physical system is comprised of
non-interacting subsystems, its inner time series is separable; i.e., it
consists of a collection of time series, each one being the inner time series
of an isolated subsystem. Because of this property, an inner time series can be
used to detect a specific behavior of one of the independent subsystems without
using blind source separation to disentangle that subsystem from the others.
The method is illustrated by applying it to: 1) an analytic example; 2) the
audio waveform of one speaker; 3) video images from a moving camera; 4)
mixtures of audio waveforms of two speakers.
"
20994,Classical properties of the leading eigenstates of quantum dissipative systems,"  By analyzing a paradigmatic example of the theory of dissipative systems --
the classical and quantum dissipative standard map -- we are able to explain
the main features of the decay to the quantum equilibrium state. The classical
isoperiodic stable structures typically present in the parameter space of these
kind of systems play a fundamental role. In fact, we have found that the period
of stable structures that are near in this space determines the phase of the
leading eigenstates of the corresponding quantum superoperator. Moreover, the
eigenvectors show a strong localization on the corresponding periodic orbits
(limit cycles). We show that this sort of scarring phenomenon (an established
property of Hamiltonian and projectively open systems) is present in the
dissipative case and it is of extreme simplicity.
"
20995,Towards Binary-Valued Gates for Robust LSTM Training,"  Long Short-Term Memory (LSTM) is one of the most widely used recurrent
structures in sequence modeling. It aims to use gates to control information
flow (e.g., whether to skip some information or not) in the recurrent
computations, although its practical implementation based on soft gates only
partially achieves this goal. In this paper, we propose a new way for LSTM
training, which pushes the output values of the gates towards 0 or 1. By doing
so, we can better control the information flow: the gates are mostly open or
closed, instead of in a middle state, which makes the results more
interpretable. Empirical studies show that (1) Although it seems that we
restrict the model capacity, there is no performance drop: we achieve better or
comparable performances due to its better generalization ability; (2) The
outputs of gates are not sensitive to their inputs: we can easily compress the
LSTM unit in multiple ways, e.g., low-rank approximation and low-precision
approximation. The compressed models are even better than the baseline models
without compression.
"
20996,GUB Covers and Power-Indexed formulations for Wireless Network Design,"  We propose a pure 0-1 formulation for the wireless network design problem,
i.e. the problem of configuring a set of transmitters to provide service
coverage to a set of receivers. In contrast with classical mixed integer
formulations, where power emissions are represented by continuous variables, we
consider only a finite set of powers values. This has two major advantages: it
better fits the usual practice and eliminates the sources of numerical problems
which heavily affect continuous models. A crucial ingredient of our approach is
an effective basic formulation for the single knapsack problem representing the
coverage condition of a receiver. This formulation is based on the GUB cover
inequalities introduced by Wolsey (1990) and its core is an extension of the
exact formulation of the GUB knapsack polytope with two GUB constraints. This
special case corresponds to the very common practical situation where only one
major interferer is present. We assess the effectiveness of our formulation by
comprehensive computational results over realistic instances of two typical
technologies, namely WiMAX and DVB-T.
"
20997,Orbital contributions to the electron g-factor in semiconductor nanowires,"  Recent experiments on Majorana fermions in semiconductor nanowires [Albrecht
et al., Nat. 531, 206 (2016)] revealed a surprisingly large electronic Landé
g-factor, several times larger than the bulk value - contrary to the
expectation that confinement reduces the g-factor. Here we assess the role of
orbital contributions to the electron g-factor in nanowires and quantum dots.
We show that an LS coupling in higher subbands leads to an enhancement of the
g-factor of an order of magnitude or more for small effective mass
semiconductors. We validate our theoretical finding with simulations of InAs
and InSb, showing that the effect persists even if cylindrical symmetry is
broken. A huge anisotropy of the enhanced g-factors under magnetic field
rotation allows for a straightforward experimental test of this theory.
"
20998,Comprehensive routing strategy on multilayer networks,"  Designing an efficient routing strategy is of great importance to alleviate
traffic congestion in multilayer networks. In this work, we design an effective
routing strategy for multilayer networks by comprehensively considering the
roles of nodes' local structures in micro-level, as well as the macro-level
differences in transmission speeds between different layers. Both numerical and
analytical results indicate that our proposed routing strategy can reasonably
redistribute the traffic load of the low speed layer to the high speed layer,
and thus the traffic capacity of multilayer networks are significantly enhanced
compared with the monolayer low speed networks. There is an optimal combination
of macro- and micro-level control parameters at which can remarkably alleviate
the congestion and thus maximize the traffic capacity for a given multilayer
network. Moreover, we find that increasing the size and the average degree of
the high speed layer can enhance the traffic capacity of multilayer networks
more effectively. We finally verify that real-world network topology does not
invalidate the results. The theoretical predictions agree well with the
numerical simulations.
"
20999,Long short-term memory and learning-to-learn in networks of spiking neurons,"  Recurrent networks of spiking neurons (RSNNs) underlie the astounding
computing and learning capabilities of the brain. But computing and learning
capabilities of RSNN models have remained poor, at least in comparison with
artificial neural networks (ANNs). We address two possible reasons for that.
One is that RSNNs in the brain are not randomly connected or designed according
to simple rules, and they do not start learning as a tabula rasa network.
Rather, RSNNs in the brain were optimized for their tasks through evolution,
development, and prior experience. Details of these optimization processes are
largely unknown. But their functional contribution can be approximated through
powerful optimization methods, such as backpropagation through time (BPTT).
A second major mismatch between RSNNs in the brain and models is that the
latter only show a small fraction of the dynamics of neurons and synapses in
the brain. We include neurons in our RSNN model that reproduce one prominent
dynamical process of biological neurons that takes place at the behaviourally
relevant time scale of seconds: neuronal adaptation. We denote these networks
as LSNNs because of their Long short-term memory. The inclusion of adapting
neurons drastically increases the computing and learning capability of RSNNs if
they are trained and configured by deep learning (BPTT combined with a rewiring
algorithm that optimizes the network architecture). In fact, the computational
performance of these RSNNs approaches for the first time that of LSTM networks.
In addition RSNNs with adapting neurons can acquire abstract knowledge from
prior learning in a Learning-to-Learn (L2L) scheme, and transfer that knowledge
in order to learn new but related tasks from very few examples. We demonstrate
this for supervised learning and reinforcement learning.
"
21000,Detecting Molecular Rotational Dynamics Complementing the Low-Frequency Terahertz Vibrations in a Zirconium-Based Metal-Organic Framework,"  We show clear experimental evidence of co-operative terahertz (THz) dynamics
observed below 3 THz (~100 cm-1), for a low-symmetry Zr-based metal-organic
framework (MOF) structure, termed MIL-140A [ZrO(O2C-C6H4-CO2)]. Utilizing a
combination of high-resolution inelastic neutron scattering and synchrotron
radiation far-infrared spectroscopy, we measured low-energy vibrations
originating from the hindered rotations of organic linkers, whose energy
barriers and detailed dynamics have been elucidated via ab initio density
functional theory (DFT) calculations. For completeness, we obtained Raman
spectra and characterized the alterations to the complex pore architecture
caused by the THz rotations. We discovered an array of soft modes with
trampoline-like motions, which could potentially be the source of anomalous
mechanical phenomena, such as negative linear compressibility and negative
thermal expansion. Our results also demonstrate coordinated shear dynamics
(~2.5 THz), a mechanism which we have shown to destabilize MOF crystals, in the
exact crystallographic direction of the minimum shear modulus (Gmin).
"
21001,A southern-sky total intensity source catalogue at 2.3 GHz from S-band Polarisation All-Sky Survey data,"  The S-band Polarisation All-Sky Survey (S-PASS) has observed the entire
southern sky using the 64-metre Parkes radio telescope at 2.3GHz with an
effective bandwidth of 184MHz. The surveyed sky area covers all declinations
$\delta\leq 0^\circ$. To analyse compact sources the survey data have been
re-processed to produce a set of 107 Stokes $I$ maps with 10.75arcmin
resolution and the large scale emission contribution filtered out. In this
paper we use these Stokes $I$ images to create a total intensity southern-sky
extragalactic source catalogue at 2.3GHz. The source catalogue contains 23,389
sources and covers a sky area of 16,600deg$^2$, excluding the Galactic plane
for latitudes $|b|<10^\circ$. Approximately 8% of catalogued sources are
resolved. S-PASS source positions are typically accurate to within 35arcsec. At
a flux density of 225mJy the S-PASS source catalogue is more than 95% complete,
and $\sim$94% of S-PASS sources brighter than 500mJy beam$^{-1}$ have a
counterpart at lower frequencies.
"
21002,Mechanomyography based closed-loop Functional Electrical Stimulation cycling system,"  Functional Electrical Stimulation (FES) systems are successful in restoring
motor function and supporting paralyzed users. Commercially available FES
products are open loop, meaning that the system is unable to adapt to changing
conditions with the user and their muscles which results in muscle fatigue and
poor stimulation protocols. This is because it is difficult to close the loop
between stimulation and monitoring of muscle contraction using adaptive
stimulation. FES causes electrical artefacts which make it challenging to
monitor muscle contractions with traditional methods such as electromyography
(EMG). We look to overcome this limitation by combining FES with novel
mechanomyographic (MMG) sensors to be able to monitor muscle activity during
stimulation in real time. To provide a meaningful task we built an FES cycling
rig with a software interface that enabled us to perform adaptive recording and
stimulation, and then combine this with sensors to record forces applied to the
pedals using force sensitive resistors (FSRs), crank angle position using a
magnetic incremental encoder and inputs from the user using switches and a
potentiometer. We illustrated this with a closed-loop stimulation algorithm
that used the inputs from the sensors to control the output of a programmable
RehaStim 1 FES stimulator (Hasomed) in real-time. This recumbent bicycle rig
was used as a testing platform for FES cycling. The algorithm was designed to
respond to a change in requested speed (RPM) from the user and change the
stimulation power (% of maximum current mA) until this speed was achieved and
then maintain it.
"
21003,QT2S: A System for Monitoring Road Traffic via Fine Grounding of Tweets,"  Social media platforms provide continuous access to user generated content
that enables real-time monitoring of user behavior and of events. The
geographical dimension of such user behavior and events has recently caught a
lot of attention in several domains: mobility, humanitarian, or
infrastructural. While resolving the location of a user can be straightforward,
depending on the affordances of their device and/or of the application they are
using, in most cases, locating a user demands a larger effort, such as
exploiting textual features. On Twitter for instance, only 2% of all tweets are
geo-referenced. In this paper, we present a system for zoomed-in grounding
(below city level) for short messages (e.g., tweets). The system combines
different natural language processing and machine learning techniques to
increase the number of geo-grounded tweets, which is essential to many
applications such as disaster response and real-time traffic monitoring.
"
21004,A Benchmark for Dose Finding Studies with Continuous Outcomes,"  An important tool to evaluate the performance of any design is an optimal
benchmark proposed by O'Quigley and others (2002, Biostatistics 3(1), 51-56)
that provides an upper bound on the performance of a design under a given
scenario. The original benchmark can be applied to dose finding studies with a
binary endpoint only. However, there is a growing interest in dose finding
studies involving continuous outcomes, but no benchmark for such studies has
been developed. We show that the original benchmark and its extension by Cheung
(2014, Biometrics 70(2), 389-397), when looked at from a different perspective,
can be generalised to various settings with several discrete and continuous
outcomes. We illustrate and compare the benchmark performance in the setting of
a Phase I clinical trial with continuous toxicity endpoint and in the setting
of a Phase I/II clinical trial with continuous efficacy outcome. We show that
the proposed benchmark provides an accurate upper bound for model-based dose
finding methods and serves as a powerful tool for evaluating designs.
"
21005,Wavefront retrieval through random pupil plane phase probes: Gerchberg-Saxton approach,"  A pupil plane wavefront reconstruction procedure is proposed based on
analysis of a sequence of focal plane images corresponding to a sequence of
random pupil plane phase probes. The developed method provides the unique
nontrivial solution of wavefront retrieval problem and shows global convergence
to this solution demonstrated using a Gerchberg-Saxton implementation. The
method is general and can be used in any optical system that includes
deformable mirrors for active/adaptive wavefront correction. The presented
numerical simulation and lab experimental results show low noise sensitivity,
high reliability and robustness of the proposed approach for high quality
optical wavefront restoration. Laboratory experiments have shown $\lambda$/14
rms accuracy in retrieval of a poked DM actuator fiducial pattern with spatial
resolution of 20-30$~\mu$m that is comparable with accuracy of direct
high-resolution interferometric measurements.
"
21006,Uplink Non-Orthogonal Multiple Access for 5G Wireless Networks,"  Orthogonal Frequency Division Multiple Access (OFDMA) as well as other
orthogonal multiple access techniques fail to achieve the system capacity limit
in the uplink due to the exclusivity in resource allocation. This issue is more
prominent when fairness among the users is considered in the system. Current
Non-Orthogonal Multiple Access (NOMA) techniques introduce redundancy by
coding/spreading to facilitate the users' signals separation at the receiver,
which degrade the system spectral efficiency. Hence, in order to achieve higher
capacity, more efficient NOMA schemes need to be developed. In this paper, we
propose a NOMA scheme for uplink that removes the resource allocation
exclusivity and allows more than one user to share the same subcarrier without
any coding/spreading redundancy. Joint processing is implemented at the
receiver to detect the users' signals. However, to control the receiver
complexity, an upper limit on the number of users per subcarrier needs to be
imposed. In addition, a novel subcarrier and power allocation algorithm is
proposed for the new NOMA scheme that maximizes the users' sum-rate. The
link-level performance evaluation has shown that the proposed scheme achieves
bit error rate close to the single-user case. Numerical results show that the
proposed NOMA scheme can significantly improve the system performance in terms
of spectral efficiency and fairness comparing to OFDMA.
"
21007,Epsilon-approximations and epsilon-nets,"  The use of random samples to approximate properties of geometric
configurations has been an influential idea for both combinatorial and
algorithmic purposes. This chapter considers two related
notions---$\epsilon$-approximations and $\epsilon$-nets---that capture the most
important quantitative properties that one would expect from a random sample
with respect to an underlying geometric configuration.
"
21008,A continuous framework for fairness,"  Increasingly, discrimination by algorithms is perceived as a societal and
legal problem. As a response, a number of criteria for implementing algorithmic
fairness in machine learning have been developed in the literature. This paper
proposes the Continuous Fairness Algorithm (CFA$\theta$) which enables a
continuous interpolation between different fairness definitions. More
specifically, we make three main contributions to the existing literature.
First, our approach allows the decision maker to continuously vary between
concepts of individual and group fairness. As a consequence, the algorithm
enables the decision maker to adopt intermediate ""worldviews"" on the degree of
discrimination encoded in algorithmic processes, adding nuance to the extreme
cases of ""we're all equal"" (WAE) and ""what you see is what you get"" (WYSIWYG)
proposed so far in the literature. Second, we use optimal transport theory, and
specifically the concept of the barycenter, to maximize decision maker utility
under the chosen fairness constraints. Third, the algorithm is able to handle
cases of intersectionality, i.e., of multi-dimensional discrimination of
certain groups on grounds of several criteria. We discuss three main examples
(college admissions; credit application; insurance contracts) and map out the
policy implications of our approach. The explicit formalization of the
trade-off between individual and group fairness allows this post-processing
approach to be tailored to different situational contexts in which one or the
other fairness criterion may take precedence.
"
21009,Counting Subwords Occurrences in Base-b Expansions,"  We count the number of distinct (scattered) subwords occurring in the base-b
expansion of the non-negative integers. More precisely, we consider the
sequence $(S_b(n))_{n\ge 0}$ counting the number of positive entries on each
row of a generalization of the Pascal triangle to binomial coefficients of
base-$b$ expansions. By using a convenient tree structure, we provide
recurrence relations for $(S_b(n))_{n\ge 0}$ leading to the $b$-regularity of
the latter sequence. Then we deduce the asymptotics of the summatory function
of the sequence $(S_b(n))_{n\ge 0}$.
"
21010,Tensor Renormalization Group with Randomized Singular Value Decomposition,"  An algorithm of the tensor renormalization group is proposed based on a
randomized algorithm for singular value decomposition. Our algorithm is
applicable to a broad range of two-dimensional classical models. In the case of
a square lattice, its computational complexity and memory usage are
proportional to the fifth and the third power of the bond dimension,
respectively, whereas those of the conventional implementation are of the sixth
and the fourth power. The oversampling parameter larger than the bond dimension
is sufficient to reproduce the same result as full singular value decomposition
even at the critical point of the two-dimensional Ising model.
"
